"SYMBOL 
","COMPANY NAME 
","PURPOSE 
","DETAILS 
","MEETING DATE 
","ATTACHMENT 
","BROADCAST DATE/TIME 
","EXCHANGE DISSEMINATION TIME 
","TIME TAKEN 
"
"GOKEX","Gokaldas Exports Limited","Board Meeting Intimation","Board Meeting Intimation","07-Feb-2025","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_45561_1367173_31012025032759_WEB.xml","31-Jan-2025 15:28:03","31-Jan-2025 15:28:06","00:00:03"
"GOKEX","Gokaldas Exports Limited","Financial Results","Financial Results","07-Feb-2025","https://nsearchives.nseindia.com/corporate/GOKEX_31012025152615_boardmeetingintimation.pdf","31-Jan-2025 15:26:26","31-Jan-2025 15:26:26","00:00:00"
"GOKEX","Gokaldas Exports Limited","Board Meeting Intimation","Board Meeting Intimation","12-Nov-2024","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_39684_1297329_05112024050016_WEB.xml","05-Nov-2024 17:00:19","05-Nov-2024 17:00:21","00:00:02"
"GOKEX","Gokaldas Exports Limited","Financial Results","Financial Results","12-Nov-2024","https://nsearchives.nseindia.com/corporate/GOKEX_05112024153109_priorintimationofboardmeeting.pdf","05-Nov-2024 15:31:09","05-Nov-2024 15:31:10","00:00:01"
"GOKEX","Gokaldas Exports Limited","Gokaldas Exports Limited has informed the Exchange about Board Meeting to be held on 07-Aug-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2024 .","Gokaldas Exports Limited has informed the Exchange about Board Meeting to be held on 07-Aug-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2024 .","07-Aug-2024","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_31420_1208473_31072024080605_WEB.xml","31-Jul-2024 20:06:08","31-Jul-2024 20:06:11","00:00:03"
"GOKEX","Gokaldas Exports Limited","Financial Results","Financial Results","07-Aug-2024","https://nsearchives.nseindia.com/corporate/GOKEX_31072024200156_priorintimationofbm.pdf","31-Jul-2024 20:01:56","31-Jul-2024 20:01:59","00:00:03"
"GOKEX","Gokaldas Exports Limited","Gokaldas Exports Limited has informed the Exchange about Board Meeting to be held on 26-May-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2024 .","Gokaldas Exports Limited has informed the Exchange about Board Meeting to be held on 26-May-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2024 .","26-May-2024","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_25819_1130694_20052024061041_WEB.xml","20-May-2024 18:10:43","20-May-2024 18:10:45","00:00:02"
"GOKEX","Gokaldas Exports Limited","Financial Results","Financial Results","26-May-2024","https://nsearchives.nseindia.com/corporate/GOKEX_20052024180847_priorintimtionofbm.pdf","20-May-2024 18:08:47","20-May-2024 18:08:50","00:00:03"
"GOKEX","Gokaldas Exports Limited","Financial Results/Fund Raising/Other business matters","Financial Results/Fund Raising/Other business matters","01-Feb-2024","https://nsearchives.nseindia.com/corporate/GOKEX_25012024190512_priorintimtionofbm.pdf","25-Jan-2024 19:05:12","25-Jan-2024 19:07:02","00:01:50"
"GOKEX","Gokaldas Exports Limited","GOKALDAS EXPORTS LIMITED has informed the Exchange about Board Meeting to be held on 30-Oct-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended September 2023 .","GOKALDAS EXPORTS LIMITED has informed the Exchange about Board Meeting to be held on 30-Oct-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended September 2023 .","30-Oct-2023","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_12274_966548_23102023082627_WEB.xml","23-Oct-2023 20:26:29","23-Oct-2023 20:28:02","00:01:33"
