"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","12-Sep-2024","-","13-Sep-2024","19-Sep-2024"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","5","13-Sep-2023","-","14-Sep-2023","20-Sep-2023"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","21-Sep-2022","-","23-Sep-2022","29-Sep-2022"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","08-Sep-2021","-","11-Sep-2021","17-Sep-2021"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","17-Sep-2020","-","19-Sep-2020","25-Sep-2020"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","03-Sep-2019","-","05-Sep-2019","13-Sep-2019"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","11-Sep-2018","-","13-Sep-2018","18-Sep-2018"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","19-Sep-2017","-","21-Sep-2017","26-Sep-2017"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","19-Sep-2016","-","21-Sep-2016","26-Sep-2016"
"GOKEX","Gokaldas Exports Limited","EQ"," Annual General Meeting","5","10-Sep-2015","-","14-Sep-2015","18-Sep-2015"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","22-Sep-2014","-","24-Sep-2014","29-Sep-2014"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","17-Sep-2013","-","19-Sep-2013","23-Sep-2013"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","23-Aug-2012","-","27-Aug-2012","03-Sep-2012"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting","5","09-Sep-2010","-","14-Sep-2010","17-Sep-2010"
"GOKEX","Gokaldas Exports Limited","EQ","Annual General Meeting   Bc Dates Revised","5","11-Sep-2009","-","15-Sep-2009","22-Sep-2009"
"GOKEX","Gokaldas Exports Limited","EQ","Agm/Dividend - 20%","5","26-Aug-2008","-","28-Aug-2008","04-Sep-2008"
"GOKEX","Gokaldas Exports Limited","EQ","Agm/Dividend-40%","5","08-Aug-2007","-","10-Aug-2007","17-Aug-2007"
"GOKEX","Gokaldas Exports Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","08-Feb-2007","15-Feb-2007","-","-"
"GOKEX","Gokaldas Exports Limited","EQ","Agm/Dividend-30%","5","08-Aug-2006","-","10-Aug-2006","17-Aug-2006"
"GOKEX","Gokaldas Exports Limited","EQ","Agm/Dividend-20%","5","29-Jul-2005","-","02-Aug-2005","10-Aug-2005"
