"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"EASEMYTRIP","Easy Trip Planners Limited","Other business matters","To consider other business matters","12-Apr-2025"
"MANCREDIT","Mangal Credit and Fincorp Limited","Fund Raising","To consider Fund Raising","12-Apr-2025"
"MANCREDIT","Mangal Credit and Fincorp Limited","Board meeting Rescheduled","Mangal Credit and Fincorp Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on April 12, 2025 To consider Fund Raising has been postponed","12-Apr-2025"
"SYMPHONY","Symphony Limited","Other business matters","To consider other business matters","12-Apr-2025"
"ORIENTCEM","Orient Cement Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","13-Apr-2025"
"VIJIFIN","Viji Finance Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","14-Apr-2025"
"GMBREW","GM Breweries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","15-Apr-2025"
"ICICIGI","ICICI Lombard General Insurance Company Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and recommendation of final dividend, if any, for FY2025","15-Apr-2025"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","Dividend","To consider dividend","15-Apr-2025"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","Financial Results","To consider and approve the audited standalone and consolidated financial statements and financial results of the Company for the quarter and year ended March 31, 2025.","15-Apr-2025"
"IREDA","Indian Renewable Energy Development Agency Limited","Financial Results","To consider and approve the audited Consolidated financial results of the Company for the quarter & year ended March 31,2025","15-Apr-2025"
"MAXIND","Max India Limited","Fund Raising","To consider Fund Raising","15-Apr-2025"
"ANGELONE","Angel One Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","16-Apr-2025"
"ANGELONE","Angel One Limited","Dividend","To consider dividend","16-Apr-2025"
"BALLARPUR","Ballarpur Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2023 and other business matters","16-Apr-2025"
"GALAXYSURF","Galaxy Surfactants Limited","Other business matters","A meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, April 16, 2025, inter alia, to consider approval of Employee Stock Option Scheme in terms of SEBI (Share Based Employee Benefits and Sweat Equity) Regulations, 2021","16-Apr-2025"
"GLOBAL","Global Education Limited","Other business matters","To consider other business matters ie Employee Stock Option Plan ( ESOP Plan )","16-Apr-2025"
"INFOMEDIA","Infomedia Press Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","16-Apr-2025"
"LAGNAM","Lagnam Spintex Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","16-Apr-2025"
"LGHL","Laxmi Goldorna House Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2025 and other business matters","16-Apr-2025"
"RIIL","Reliance Industrial Infrastructure Limited","Financial Results/Dividend","Reliance Industrial Infrastructure Limited has informed the Exchange about the Board Meeting to be held on April 16, 2025 to consider and approve the standalone and consolidated audited financial results of the Company for the quarter and year ended March 31, 2025; and recommend dividend on equity shares of the Company for the financial year ended March 31, 2025.","16-Apr-2025"
"SWARAJENG","Swaraj Engines Limited","Financial Results/Dividend","Pursuant to Regulation 29(1)(a) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform that the Meeting of the Board of Directors of the Company will be held on 16th April, 2025 (Wednesday), to inter alia, consider and approve the Audited Financial Results of the Company for the year ended on 31st March, 2025 and to recommend equity dividend, if any, for the said year.In terms of the Code of Conduct for Prevention of Insider Trading in Securities of Swaraj Engines Limited, the Trading Window has been closed from 1st April, 2025 to 18th April, 2025 (both days inclusive).","16-Apr-2025"
"WAAREERTL","Waaree Renewable Technologies Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","16-Apr-2025"
"WIPRO","Wipro Limited","Financial Results","Pursuant to Regulation 29(1) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is hereby informed that the next meeting of the Board of Directors of Wipro Limited ( Company ) will be held over April 15-16, 2025 to consider and approve, inter alia:a)the condensed audited standalone and consolidated financial results of the Company under lndAS for the quarter and year ended March 31, 2025.b)the condensed audited consolidated financial results of the Company under IFRS for the quarter and year ended March 31, 2025.The financial results will be approved by the Board of Directors on the evening of April 16, 2025.It is further informed that the trading window for dealing in the securities of the Company is closed from March 16, 2025, to April 18, 2025 (both days inclusive).","16-Apr-2025"
"HDFCAMC","HDFC Asset Management Company Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","17-Apr-2025"
"HDFCLIFE","HDFC Life Insurance Company Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters","17-Apr-2025"
"INFY","Infosys Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","17-Apr-2025"
"MAHEPC","Mahindra EPC Irrigation Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","17-Apr-2025"
"TATAELXSI","Tata Elxsi Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","17-Apr-2025"
"MASTEK","Mastek Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","18-Apr-2025"
"MASTEK","Mastek Limited","Dividend","Intimation of Board Meeting to consider recommending a Final Dividend for the financial year ended March 31, 2025","18-Apr-2025"
"HDFCBANK","HDFC Bank Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2025, dividend and Fund Raising","19-Apr-2025"
"ICICIBANK","ICICI Bank Limited","Financial Results/Dividend","To consider and approve the audited financial results (standalone and consolidated) for the quarter and year ending March 31, 2025 and recommendation of dividend, if any, for the financial year ending March 31, 2025","19-Apr-2025"
"YESBANK","Yes Bank Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","19-Apr-2025"
"ANANTRAJ","Anant Raj Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","21-Apr-2025"
"MUTHOOTFIN","Muthoot Finance Limited","Dividend/Other business matters","To consider:i)  declaration of an interim dividend ii) seeking approval of shareholders for increase in Borrowing powers of Board of Directors","21-Apr-2025"
"SHEKHAWATI","Shekhawati Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","21-Apr-2025"
"CYIENTDLM","Cyient DLM Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2025","22-Apr-2025"
"HAVELLS","Havells India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","22-Apr-2025"
"HCLTECH","HCL Technologies Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2025 and dividend","22-Apr-2025"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","Financial Results","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 22nd April 2025 to consider and approve the Yearly Audited Standalone and Consolidated Financial results of the Company for the fourth quarter and year ended 31st March 2025","22-Apr-2025"
