"COMPANY NAME 
","NAME OF PERSON 
","CATEGORY OF PERSON 
","TYPE 
","SECURITIES ACQUIRED / DISPOSED - BUY 
No. of shares","SECURITIES ACQUIRED / DISPOSED - BUY 
% of total equity share capital","SECURITIES ACQUIRED / DISPOSED - BUY 
Value of Securities","SECURITIES ACQUIRED / DISPOSED - SALE / PLEDGE INVOCATION 
No. of shares","SECURITIES ACQUIRED / DISPOSED - SALE / PLEDGE INVOCATION 
% of total equity share capital","SECURITIES ACQUIRED / DISPOSED - SALE / PLEDGE INVOCATION 
Value of Securities","SECURITIES ACQUIRED / DISPOSED - PLEDGE CREATION / PLEDGE RELEASE 
No. of shares","SECURITIES ACQUIRED / DISPOSED - PLEDGE CREATION / PLEDGE RELEASE 
% of total equity share capital","SECURITIES ACQUIRED / DISPOSED - PLEDGE CREATION / PLEDGE RELEASE 
Value of Securities","SECURITIES HELD POST ACQUISITION / DISPOSAL 
No. of shares","SECURITIES HELD POST ACQUISITION / DISPOSAL 
% of total equity share capital","TYPE OF CONTRACT 
","CONTRACT SPECIFICATION 
","DATE OF ALLOTMENT ADVICE/ACQUISITION OF SHARES/SALE OF SHARES SPECIFY 
From","DATE OF ALLOTMENT ADVICE/ACQUISITION OF SHARES/SALE OF SHARES SPECIFY 
To"
"AGS Transact Technologies Limited","RAVI BADRINARAIN GOYAL","Promoter And Designated Person","Equity","-","-","-","2,82,489","0","19,94,372","-","-","-","1,96,91,538","16","","","03-Apr-2025","03-Apr-2025"
"Vishal Mega Mart Limited","VINISH PAL SINGH","Designated Person","Equity","-","-","-","-","-","-","1,65,000","0","1,80,55,950","5,64,611","0","","","03-Apr-2025","03-Apr-2025"
"Swiggy Limited","Saurav Goyal","Designated Person","Equity","-","-","-","-","-","-","1,00,000","0","3,45,15,000","2,05,025","0","","","03-Apr-2025","03-Apr-2025"
"Strides Pharma Science Limited","PRONOMZ VENTURES LLP","Promoter","Equity","-","-","-","-","-","-","24,50,000","3","1,71,29,17,500","1,80,46,585","20","","","03-Apr-2025","03-Apr-2025"
"Solara Active Pharma Sciences Limited","CHAYADEEP VENTURES LLP","Promoter","Equity","-","-","-","-","-","-","1,12,821","0","6,05,90,518","10,12,400","3","","","03-Apr-2025","03-Apr-2025"
"Shriram Finance Limited","SHRIRAM INSIGHT SHARE BROKERS LIMITED","Promoter","Equity","-","-","-","-","-","-","2,929","-","19,16,005","-","-","","","03-Apr-2025","03-Apr-2025"
"Shriram Finance Limited","SHRIRAM INSIGHT SHARE BROKERS LIMITED","Promoter","Equity","-","-","-","-","-","-","976","-","6,38,450","-","-","","","03-Apr-2025","03-Apr-2025"
"Onesource Specialty Pharma Limited","Pronomz Ventures LLP","Promoter","Equity","-","-","-","-","-","-","1,20,000","0","18,88,62,000","77,84,950","7","","","03-Apr-2025","03-Apr-2025"
"Onesource Specialty Pharma Limited","Karuna Business Solutions LLP","Promoter","Equity","-","-","-","-","-","-","2,00,000","0","31,47,70,000","78,90,353","7","","","03-Apr-2025","03-Apr-2025"
"NACL Industries Limited","S.MANI PRASAD","Designated Person","Equity","-","-","-","22,385","0","28,89,544","-","-","-","98,777","0","","","03-Apr-2025","03-Apr-2025"
"Max Financial Services Limited","Max Ventures Investments Holdings Pvt. Ltd,","Promoter","Equity","-","-","-","-","-","-","1,200","-","13,77,360","55,95,923","2","","","03-Apr-2025","03-Apr-2025"
"Mazagon Dock Shipbuilders Limited","THE PRESIDENT OF INDIA","Promoter","Equity","-","-","-","1,95,27,966","5","53,45,87,83,323","-","-","-","-","-","","","03-Apr-2025","03-Apr-2025"
