"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Gokaldas Exports Limited","9.38","90.62","0","-","31-MAR-2025","04-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196318_1408419_04042025032513_WEB.xml","04-APR-2025 15:25:14","04-APR-2025 15:25:17","00:00:03"
"Gokaldas Exports Limited","9.38","90.62","0","-","31-DEC-2024","04-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193850_1337492_04012025122445_WEB.xml","04-JAN-2025 12:24:46","04-JAN-2025 12:24:50","00:00:04"
"Gokaldas Exports Limited","9.39","90.61","0","-","30-SEP-2024","07-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191141_1260193_07102024124840_WEB.xml","07-OCT-2024 12:48:41","07-OCT-2024 12:48:44","00:00:03"
"Gokaldas Exports Limited","9.42","90.58","0","-","30-JUN-2024","05-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188632_1170664_05072024121349_WEB.xml","05-JUL-2024 12:13:50","05-JUL-2024 12:13:54","00:00:04"
"Gokaldas Exports Limited","9.43","90.57","0","-","23-APR-2024","23-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188353_1106863_23042024113707_WEB.xml","23-APR-2024 23:37:08","23-APR-2024 23:40:04","00:02:56"
"Gokaldas Exports Limited","10.58","89.42","0","-","31-MAR-2024","08-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185953_1082920_08042024120005_WEB.xml","08-APR-2024 12:00:06","08-APR-2024 12:05:04","00:04:58"
"Gokaldas Exports Limited","10.58","89.42","0","-","13-MAR-2024","13-MAR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185633_1067428_13032024071349_WEB.xml","13-MAR-2024 19:13:50","13-MAR-2024 19:15:04","00:01:14"
"Gokaldas Exports Limited","11.06","88.94","0","-","31-DEC-2023","09-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183516_1012496_09012024044705_WEB.xml","09-JAN-2024 16:47:06","09-JAN-2024 16:50:08","00:03:02"
"Gokaldas Exports Limited","11.06","88.94","0","Revised","30-SEP-2023","10-OCT-2023","11-OCT-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_180899_944927_10102023012845_WEB.xml","13-OCT-2023 14:57:09","13-OCT-2023 15:00:22","00:03:13"
"Gokaldas Exports Limited","11.06","88.94","0","Revised","30-JUN-2023","07-JUL-2023","26-JUL-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_178307_875911_07072023024612_WEB.xml","27-JUL-2023 10:56:49","27-JUL-2023 11:00:04","00:03:15"
"Gokaldas Exports Limited","11.07","88.93","0","-","31-MAR-2023","14-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176567_818619_14042023112120_WEB.xml","14-APR-2023 11:21:21","14-APR-2023 11:30:07","00:08:46"
"Gokaldas Exports Limited","20.97","79.03","0","-","31-DEC-2022","09-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173576_758903_09012023040152_WEB.xml","09-JAN-2023 16:10:13",,"::"
"Gokaldas Exports Limited","20.97","79.03","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172338_737027_20102022044942_WEB.xml","20-OCT-2022 17:11:17",,"::"
"Gokaldas Exports Limited","23.48","76.52","0","-","30-JUN-2022","20-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170296_696631_20072022010313_WEB.xml","20-JUL-2022 13:10:23",,"::"
"Gokaldas Exports Limited","24.09","75.91","0","-","31-MAR-2022","20-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167863_642806_20042022011145_WEB.xml","20-APR-2022 13:40:02",,"::"
"Gokaldas Exports Limited","24.09","75.91","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164257_584695_12012022040400_WEB.xml","12-JAN-2022 16:10:11",,"::"
"Gokaldas Exports Limited","24.14","75.86","0","-","07-OCT-2021","11-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161285_527308_11102021010236_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Gokaldas Exports Limited","32.72","67.28","0","-","30-SEP-2021","19-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162567_538391_19102021044601_WEB.xml","07-JAN-2022 00:25:01",,"::"
"Gokaldas Exports Limited","33.12","66.88","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159017_479719_12072021044338_WEB.xml","12-JUL-2021 17:10:11",,"::"
"Gokaldas Exports Limited","33.12","66.88","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156263_425814_08042021070202_WEB.xml","08-APR-2021 19:10:07",,"::"
"Gokaldas Exports Limited","33.12","66.88","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154239_387137_13012021021000_WEB.xml","13-JAN-2021 14:10:09",,"::"
"Gokaldas Exports Limited","33.17","66.83","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151872_339873_14102020070950_WEB.xml","14-OCT-2020 19:10:08",,"::"
"Gokaldas Exports Limited","33.17","66.83","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148940_278897_10072020061856_WEB.xml","10-JUL-2020 18:40:03",,"::"
"Gokaldas Exports Limited","33.17","66.83","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147022_245367_29042020024556_WEB.xml","29-APR-2020 15:10:03",,"::"
"Gokaldas Exports Limited","33.17","66.83","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144901_203253_16012020031842_WEB.xml","16-JAN-2020 15:40:06",,"::"
"Gokaldas Exports Limited","33.09","66.91","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142606_153911_18102019071154_WEB.xml","18-OCT-2019 19:40:05",,"::"
"Gokaldas Exports Limited","32.93","67.07","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140402_123334_21072019121605_WEB.xml","21-JUL-2019 12:40:05",,"::"
"Gokaldas Exports Limited","32.93","67.07","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136541_94286_15042019050033_WEB.xml","15-APR-2019 17:10:07",,"::"
"Gokaldas Exports Limited","32.6","67.4","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133530_70943_14012019030940_WEB.xml","14-JAN-2019 15:10:07",,"::"
"Gokaldas Exports Limited","32.6","67.4","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130773_48602_12102018050052_WEB.xml","12-OCT-2018 17:10:14",,"::"
"Gokaldas Exports Limited","32.64","67.36","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128069_25388_18072018095808_WEB.xml","18-JUL-2018 10:10:07",,"::"
"Gokaldas Exports Limited","32.71","67.29","0","-","03-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126402_8150_03052018092900_WEB.xml","03-MAY-2018 21:40:04",,"::"
"Gokaldas Exports Limited","39.93","60.07","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_1544_13042018123002.xml","13-APR-2018 12:40:10",,"::"
"Gokaldas Exports Limited","39.93","60.07","0","Revised","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","31-JAN-2018 11:40:02",,"::"
"Gokaldas Exports Limited","39.94","60.06","0","Revised","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-DEC-2017 10:10:02",,"::"
"Gokaldas Exports Limited","39.94","60.06","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-JUL-2017 12:10:01",,"::"
"Gokaldas Exports Limited","39.96","60.04","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-APR-2017 11:10:01",,"::"
"Gokaldas Exports Limited","39.96","60.04","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-JAN-2017 16:10:01",,"::"
"Gokaldas Exports Limited","39.97","60.03","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-OCT-2016 17:10:01",,"::"
"Gokaldas Exports Limited","47.44","52.56","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-JUL-2016 14:10:01",,"::"
"Gokaldas Exports Limited","57.44","42.56","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAY-2016 17:15:01",,"::"
"Gokaldas Exports Limited","57.5","42.5","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2016 06:15:01",,"::"
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-SEP-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"30-JUN-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-MAR-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Gokaldas Exports Limited","0","0","0",,"31-DEC-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
