"SYMBOL 
","COMPANY NAME 
","MEETING TYPE 
","MEETING DATE 
","TYPE OF SUBMISSION 
","ATTACHMENT 
","XBRL 
","BROADCAST DATE/TIME 
","REVISED DATE/TIME 
","REVISION REMARKS 
","EXCHANGE DISSEMINATION TIME 
","TIME TAKEN 
"
"HNDFDS","Hindustan Foods Limited","Postal Ballot","10-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_519126_11042025123002.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1412266_11042025123112_WEB.xml","11-Apr-2025 12:31:08",,,"11-Apr-2025 12:31:13","00:00:05"
"HNDFDS","Hindustan Foods Limited","Postal Ballot","10-APR-2025","New",,"https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1412275_11042025123626_WEB.xml","11-Apr-2025 12:36:26",,,"11-Apr-2025 12:36:27","00:00:01"
"KOLTEPATIL","Kolte - Patil Developers Limited","EGM","10-APR-2025","New","https://nsearchives.nseindia.com/corporate/KOLTEPATIL_10042025174102_votingresults.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411899_10042025054118_WEB.xml","10-Apr-2025 17:41:18",,,"10-Apr-2025 17:41:20","00:00:02"
"KOLTEPATIL","Kolte - Patil Developers Limited","EGM","10-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_532924_10042025174250.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411913_10042025054459_WEB.xml","10-Apr-2025 17:44:55",,,"10-Apr-2025 17:45:00","00:00:05"
"AUTOAXLES","Automotive Axles Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/AUTOAXLES_10042025171732_PBOutcome10042025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411844_10042025051746_WEB.xml","10-Apr-2025 17:17:46",,,"10-Apr-2025 17:17:48","00:00:02"
"AUTOAXLES","Automotive Axles Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_505010_10042025171859.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411851_10042025052008_WEB.xml","10-Apr-2025 17:20:05",,,"10-Apr-2025 17:20:10","00:00:05"
"CEIGALL","Ceigall India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_544223_10042025151431.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411614_10042025031650_WEB.xml","10-Apr-2025 15:16:47",,,"10-Apr-2025 15:16:51","00:00:04"
"CEIGALL","Ceigall India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/ceigall_10042025153837_Outcome_and_Scrutinizer_Repor_Postal_Ballot.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411656_10042025033851_WEB.xml","10-Apr-2025 15:38:51",,,"10-Apr-2025 15:38:53","00:00:02"
"CEIGALL","Ceigall India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/ceigall_10042025153612_Outcome_and_Scrutinizer_Repor_Postal_Ballot.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411653_10042025033628_WEB.xml","10-Apr-2025 15:36:29",,,"10-Apr-2025 15:36:30","00:00:01"
"CEIGALL","Ceigall India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/ceigall_10042025152728_Outcome_and_Scrutinizer_Repor_Postal_Ballot.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411633_10042025032744_WEB.xml","10-Apr-2025 15:27:44",,,"10-Apr-2025 15:27:46","00:00:02"
"CEIGALL","Ceigall India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_544223_10042025152256.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411630_10042025032521_WEB.xml","10-Apr-2025 15:25:16",,,"10-Apr-2025 15:25:22","00:00:06"
"PGHL","Procter & Gamble Health Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_500126_10042025201316.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1412061_10042025081529_WEB.xml","10-Apr-2025 20:15:25",,,"10-Apr-2025 20:15:32","00:00:07"
"PGHL","Procter & Gamble Health Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/PGHL_10042025201611_PGHLPostalballotresultsandproceedings.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1412062_10042025081625_WEB.xml","10-Apr-2025 20:16:25",,,"10-Apr-2025 20:16:27","00:00:02"
"PTC","PTC India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_532524_10042025145532.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411587_10042025025626_WEB.xml","10-Apr-2025 14:56:23",,,"10-Apr-2025 14:56:28","00:00:05"
"PTC","PTC India Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/PTC_10042025145851_PostalBallotVotingResultsSigned.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411592_10042025025933_WEB.xml","10-Apr-2025 14:59:33",,,"10-Apr-2025 14:59:34","00:00:01"
"RBLBANK","RBL Bank Limited","Postal Ballot","09-APR-2025","New",,"https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411326_09042025093747_WEB.xml","09-Apr-2025 21:37:47",,,"09-Apr-2025 21:37:49","00:00:02"
"RBLBANK","RBL Bank Limited","Postal Ballot","09-APR-2025","Revision","https://nsearchives.nseindia.com/corporate/Voting_540065_09042025213909.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411328_09042025094158_WEB.xml",,"09-Apr-2025 21:41:54","The date of the meeting was inadvertently mentioned as date of postal ballot notice i.e. 07-03-2025, which is now corrected as 09-04-2025.","09-Apr-2025 21:42:01","00:00:07"
"SPAL","S. P. Apparels Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_540048_10042025164849.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411785_10042025045128_WEB.xml","10-Apr-2025 16:51:25",,,"10-Apr-2025 16:51:30","00:00:05"
"SPAL","S. P. Apparels Limited","Postal Ballot","09-APR-2025","New","https://nsearchives.nseindia.com/corporate/SPAL_10042025165206_Votingresultalongwithscrutinizerreport2025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411789_10042025045217_WEB.xml","10-Apr-2025 16:52:17",,,"10-Apr-2025 16:52:20","00:00:03"
"EVEREADY","Eveready Industries India Limited","Postal Ballot","08-APR-2025","New","https://nsearchives.nseindia.com/corporate/EVEREADY_09042025181142_SEIntimation_PB_Outcome_09042025.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411190_09042025061205_WEB.xml","09-Apr-2025 18:12:05",,,"09-Apr-2025 18:12:07","00:00:02"
"EVEREADY","Eveready Industries India Limited","Postal Ballot","08-APR-2025","New","https://nsearchives.nseindia.com/corporate/Voting_531508_09042025181101.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411192_09042025061235_WEB.xml","09-Apr-2025 18:12:30",,,"09-Apr-2025 18:12:38","00:00:08"
"SGL","STL Global Limited","Postal Ballot","08-APR-2025","New","https://nsearchives.nseindia.com/corporate/SGL_10042025114745_Disclosure_Postal_Ballot.pdf","https://nsearchives.nseindia.com/corporate/xbrl/RESULT_VOTING_1411393_10042025114802_WEB.xml","10-Apr-2025 11:48:02",,,"10-Apr-2025 11:48:03","00:00:01"
